hh_id,num_trips,person_id,person_num,day_id,travel_dow,day_num,is_complete,travel_date,summary_complete,num_complete_trip_surveys,begin_day,end_day,telecommute_time,delivery_2,delivery_3,delivery_4,delivery_5,delivery_6,delivery_7,delivery_8,delivery_9,delivery_996,shop_online,no_travel_1,no_travel_2,no_travel_3,no_travel_4,no_travel_5,no_travel_6,no_travel_7,no_travel_8,no_travel_9,no_travel_11,no_travel_12,no_travel_13,no_travel_99,wkday_weight,svnday_weight
22000460,0,2200046001,1,220004600105,7,5,1,10/23/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.47409286
22000460,0,2200046001,1,220004600106,1,6,0,10/24/2022,1,0,1,1,345,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22000460,4,2200046001,1,220004600107,2,7,1,10/25/2022,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,59.1234881,35.47409286
22000533,5,2200053301,1,220005330101,3,1,1,10/05/2022,1,5,1,1,0,1,0,0,0,0,1,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,479.8578584,274.2044905
22000533,7,2200053301,1,220005330102,4,2,1,10/06/2022,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,479.8578584,274.2044905
22000533,7,2200053301,1,220005330103,5,3,1,10/07/2022,1,7,1,1,0,1,0,0,1,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,274.2044905
22000533,10,2200053301,1,220005330104,6,4,1,10/08/2022,1,10,1,1,0,0,0,0,1,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,274.2044905
22000533,1,2200053301,1,220005330105,7,5,1,10/09/2022,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,274.2044905
22000533,6,2200053301,1,220005330106,1,6,1,10/10/2022,1,6,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,479.8578584,274.2044905
22000533,5,2200053301,1,220005330107,2,7,1,10/11/2022,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,479.8578584,274.2044905
22000607,8,2200060701,1,220006070101,5,1,1,10/14/2022,1,8,1,1,0,1,0,0,1,1,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,906.9303753
22000607,7,2200060701,1,220006070102,6,2,1,10/15/2022,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,906.9303753
22000607,2,2200060701,1,220006070103,7,3,1,10/16/2022,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,906.9303753
22000607,11,2200060701,1,220006070104,1,4,1,10/17/2022,1,11,1,1,0,0,0,0,0,1,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1587.128157,906.9303753
22000607,8,2200060701,1,220006070105,2,5,1,10/18/2022,1,8,1,1,0,0,0,0,1,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1587.128157,906.9303753
22000607,12,2200060701,1,220006070106,3,6,1,10/19/2022,1,12,1,1,0,0,0,0,1,1,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1587.128157,906.9303753
22000607,10,2200060701,1,220006070107,4,7,1,10/20/2022,1,10,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1587.128157,906.9303753
22000655,4,2200065501,1,220006550101,1,1,1,10/24/2022,1,4,1,1,300,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,83.34419975,47.625257
22000655,5,2200065501,1,220006550102,2,2,1,10/25/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,83.34419975,47.625257
22000655,5,2200065501,1,220006550103,3,3,1,10/26/2022,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,83.34419975,47.625257
22000655,7,2200065501,1,220006550104,4,4,1,10/27/2022,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,83.34419975,47.625257
22000655,6,2200065501,1,220006550105,5,5,1,10/28/2022,1,6,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,47.625257
22000655,7,2200065501,1,220006550106,6,6,1,10/29/2022,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,47.625257
22000655,0,2200065501,1,220006550107,7,7,1,10/30/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47.625257
22000768,16,2200076801,1,220007680101,3,1,1,10/05/2022,1,16,3,3,0,0,0,0,1,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,67.92033811,40.75220286
22000768,4,2200076801,1,220007680102,4,2,1,10/06/2022,1,4,3,3,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,67.92033811,40.75220286
22000768,10,2200076801,1,220007680103,5,3,1,10/07/2022,1,10,3,3,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,40.75220286
22000768,13,2200076801,1,220007680104,6,4,1,10/08/2022,1,13,3,997,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,40.75220286
22000768,13,2200076801,1,220007680105,7,5,0,10/09/2022,1,12,997,3,0,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000768,11,2200076801,1,220007680106,1,6,0,10/10/2022,1,8,3,3,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000768,6,2200076801,1,220007680107,2,7,1,10/11/2022,1,6,3,997,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,67.92033811,40.75220286
22000889,0,2200088901,1,220008890101,2,1,1,10/18/2022,1,0,1,1,480,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,275.2270668,275.2270668
22000991,3,2200099101,1,220009910101,4,1,0,10/13/2022,1,2,1,1,540,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000991,2,2200099101,1,220009910102,5,2,1,10/14/2022,1,2,1,1,480,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,1370.131838
22000991,10,2200099101,1,220009910103,6,3,0,10/15/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000991,2,2200099101,1,220009910104,7,4,1,10/16/2022,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,1370.131838
22000991,0,2200099101,1,220009910105,1,5,1,10/17/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2740.263676,1370.131838
22000991,0,2200099101,1,220009910106,2,6,1,10/18/2022,1,0,1,1,495,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2740.263676,1370.131838
22000991,4,2200099101,1,220009910107,3,7,0,10/19/2022,0,4,1,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22001128,5,2200112801,1,220011280101,3,1,1,10/26/2022,1,5,1,1,995,0,0,0,1,0,1,0,1,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,61.63010281,35.21720161
22001128,5,2200112801,1,220011280102,4,2,1,10/27/2022,1,5,1,997,995,0,0,0,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,61.63010281,35.21720161
22001128,4,2200112801,1,220011280103,5,3,1,10/28/2022,1,4,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,35.21720161
22001128,2,2200112801,1,220011280104,6,4,1,10/29/2022,1,2,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,35.21720161
22001128,1,2200112801,1,220011280105,7,5,1,10/30/2022,1,1,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,35.21720161
22001128,11,2200112801,1,220011280106,1,6,1,10/31/2022,1,11,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,61.63010281,35.21720161
22001128,7,2200112801,1,220011280107,2,7,1,11/01/2022,1,7,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,61.63010281,35.21720161
22001223,6,2200122301,1,220012230101,2,1,1,10/04/2022,1,6,1,1,995,0,0,0,0,0,1,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.81760925,29.03863386
22001223,4,2200122301,1,220012230102,3,2,1,10/05/2022,1,4,1,1,995,0,0,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.81760925,29.03863386
22001223,8,2200122301,1,220012230103,4,3,1,10/06/2022,1,8,1,2,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.81760925,29.03863386
22001223,6,2200122301,1,220012230104,5,4,1,10/07/2022,1,6,2,2,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.03863386
22001223,7,2200122301,1,220012230105,6,5,1,10/08/2022,1,7,2,2,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.03863386
22001223,8,2200122301,1,220012230106,7,6,1,10/09/2022,1,8,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.03863386
22001223,3,2200122301,1,220012230107,1,7,1,10/10/2022,1,3,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.81760925,29.03863386
22001276,5,2200127601,1,220012760101,3,1,1,10/05/2022,1,5,1,1,480,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,72.22785971,41.27306269
22001276,6,2200127601,1,220012760102,4,2,1,10/06/2022,1,6,1,1,480,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,72.22785971,41.27306269
22001276,4,2200127601,1,220012760103,5,3,1,10/07/2022,1,4,1,2,480,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,41.27306269
22001276,9,2200127601,1,220012760104,6,4,1,10/08/2022,1,9,2,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,41.27306269
22001276,9,2200127601,1,220012760105,7,5,1,10/09/2022,1,9,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,41.27306269
22001276,2,2200127601,1,220012760106,1,6,1,10/10/2022,1,2,1,1,480,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,72.22785971,41.27306269
22001276,3,2200127601,1,220012760107,2,7,1,10/11/2022,1,3,1,1,480,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,72.22785971,41.27306269
22001306,6,2200130601,1,220013060101,6,1,1,10/08/2022,1,6,1,1,995,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,40.6878729
22001306,2,2200130601,1,220013060102,7,2,1,10/09/2022,1,2,1,1,995,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,40.6878729
22001306,2,2200130601,1,220013060103,1,3,1,10/10/2022,1,2,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,67.8131215,40.6878729
22001306,4,2200130601,1,220013060104,2,4,1,10/11/2022,1,4,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,67.8131215,40.6878729
22001306,0,2200130601,1,220013060105,3,5,1,10/12/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,67.8131215,40.6878729
22001306,0,2200130601,1,220013060106,4,6,0,10/13/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22001306,6,2200130601,1,220013060107,5,7,0,10/14/2022,1,5,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22001440,0,2200144001,1,220014400101,4,1,1,10/13/2022,1,0,1,1,420,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.89898099,29.085132
22001440,4,2200144001,1,220014400102,5,2,1,10/14/2022,1,4,1,4,420,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.085132
22001440,7,2200144001,1,220014400103,6,3,1,10/15/2022,1,7,1,4,15,0,0,0,0,0,1,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.085132
22001440,2,2200144001,1,220014400104,7,4,1,10/16/2022,1,2,4,4,150,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.085132
22001440,10,2200144001,1,220014400105,1,5,1,10/17/2022,1,10,1,1,390,0,1,1,1,0,0,0,0,0,1,995,995,995,995,995,995,995,995,995,995,995,995,995,50.89898099,29.085132
22001440,9,2200144001,1,220014400106,2,6,1,10/18/2022,1,9,1,4,390,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,50.89898099,29.085132
22001440,10,2200144001,1,220014400107,3,7,1,10/19/2022,1,10,1,1,360,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,50.89898099,29.085132
22001486,3,2200148601,1,220014860101,2,1,1,10/11/2022,1,3,1,1,60,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,988.2040647,988.2040647
22001518,4,2200151801,1,220015180101,4,1,1,10/06/2022,1,4,1,1,480,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,271.1773728,162.7064237
22001518,4,2200151801,1,220015180102,5,2,1,10/07/2022,1,4,1,1,120,1,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,162.7064237
22001518,9,2200151801,1,220015180103,6,3,0,10/08/2022,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22001518,2,2200151801,1,220015180104,7,4,1,10/09/2022,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,162.7064237
22001518,3,2200151801,1,220015180105,1,5,1,10/10/2022,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,271.1773728,162.7064237
22001518,5,2200151801,1,220015180106,2,6,1,10/11/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,271.1773728,162.7064237
22001518,6,2200151801,1,220015180107,3,7,0,10/12/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22001566,5,2200156601,1,220015660101,3,1,1,10/12/2022,1,5,1,1,600,1,0,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2521.66621,1440.95212
22001566,4,2200156601,1,220015660102,4,2,1,10/13/2022,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2521.66621,1440.95212
22001566,5,2200156601,1,220015660103,5,3,1,10/14/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,1440.95212
22001566,0,2200156601,1,220015660104,6,4,1,10/15/2022,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1440.95212
22001566,4,2200156601,1,220015660105,7,5,1,10/16/2022,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,1440.95212
22001566,5,2200156601,1,220015660106,1,6,1,10/17/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2521.66621,1440.95212
22001566,2,2200156601,1,220015660107,2,7,1,10/18/2022,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2521.66621,1440.95212
22001611,1,2200161101,1,220016110101,2,1,1,10/18/2022,1,1,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76.43167495,45.85900497
22001611,1,2200161101,1,220016110102,3,2,1,10/19/2022,1,1,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,76.43167495,45.85900497
22001611,0,2200161101,1,220016110103,4,3,1,10/20/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76.43167495,45.85900497
22001611,1,2200161101,1,220016110104,5,4,0,10/21/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22001611,0,2200161101,1,220016110105,6,5,1,10/22/2022,1,0,1,1,995,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.85900497
22001611,0,2200161101,1,220016110106,7,6,1,10/23/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.85900497
22001611,0,2200161101,1,220016110107,1,7,0,10/24/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001817,0,2200181701,1,220018170101,5,1,0,10/14/2022,1,0,1,1,390,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001817,3,2200181701,1,220018170102,6,2,1,10/15/2022,1,3,1,1,480,1,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,767.3282988
22001817,6,2200181701,1,220018170103,7,3,1,10/16/2022,1,6,1,1,300,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,767.3282988
22001817,3,2200181701,1,220018170104,1,4,1,10/17/2022,1,3,1,3,285,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1150.992448,767.3282988
22001817,2,2200181701,1,220018170105,2,5,1,10/18/2022,1,2,1,1,330,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1150.992448,767.3282988
22001817,2,2200181701,1,220018170106,3,6,1,10/19/2022,1,2,1,1,345,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1150.992448,767.3282988
22001817,2,2200181701,1,220018170107,4,7,1,10/20/2022,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1150.992448,767.3282988
22001830,19,2200183001,1,220018300101,3,1,1,10/12/2022,1,19,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,845.4087018,483.0906868
22001830,3,2200183001,1,220018300102,4,2,1,10/13/2022,1,3,1,1,465,1,0,0,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,845.4087018,483.0906868
